Day,Part,Language,Attempt,Output,Expected Output,Status,Error Message,Execution Time (s),Date/Time
01,Part 1,C,initial_attempt,1646452,1646452,CORRECT,,0.111,2025-05-12 10:39:17
01,Part 2,C,initial_attempt,23609874,23609874,CORRECT,,0.064,2025-05-12 10:39:17
01,Part 1,Python,initial_attempt,1646452,1646452,CORRECT,,0.008,2025-05-12 10:39:17
01,Part 2,Python,initial_attempt,23609874,23609874,CORRECT,,0.008,2025-05-12 10:39:17
01,Part 1,Clojure,initial_attempt,1646452,1646452,CORRECT,,1.665,2025-05-12 10:39:19
01,Part 2,Clojure,initial_attempt,23609874,23609874,CORRECT,,0.525,2025-05-12 10:39:19
02,Part 1,C,initial_attempt,277,524,INCORRECT,,0.069,2025-05-12 10:39:19
02,Part 2,C,initial_attempt,299,569,INCORRECT,,0.060,2025-05-12 10:39:19
02,Part 1,Python,initial_attempt,524,524,CORRECT,,0.008,2025-05-12 10:39:19
02,Part 2,Python,initial_attempt,569,569,CORRECT,,0.010,2025-05-12 10:39:19
02,Part 1,Clojure,initial_attempt,524,524,CORRECT,,0.566,2025-05-12 10:39:20
02,Part 2,Clojure,initial_attempt,569,569,CORRECT,,0.595,2025-05-12 10:39:20
03,Part 1,C,initial_attempt,14100415,167650499,INCORRECT,,0.068,2025-05-12 10:39:21
03,Part 2,C,initial_attempt,14100415,95846796,INCORRECT,,0.064,2025-05-12 10:39:21
03,Part 1,Python,initial_attempt,167650499,167650499,CORRECT,,0.010,2025-05-12 10:39:21
03,Part 2,Python,initial_attempt,95846796,95846796,CORRECT,,0.011,2025-05-12 10:39:21
03,Part 1,Clojure,initial_attempt,167650499,167650499,CORRECT,,0.546,2025-05-12 10:39:21
03,Part 2,Clojure,initial_attempt,N/A,95846796,ERROR,"Syntax error reading source at (output_03b.clj:24:1). EOF while reading, starting at line 5  Full report at: /tmp/clojure-13819987759216683702.edn",0.575,2025-05-12 10:39:22
04,Part 1,C,initial_attempt,,2464,RUNTIME_ERROR,*** stack smashing detected ***: terminated,0.069,2025-05-12 10:39:22
04,Part 2,C,initial_attempt,,1982,RUNTIME_ERROR,*** stack smashing detected ***: terminated,0.065,2025-05-12 10:39:22
04,Part 1,Python,initial_attempt,2464,2464,CORRECT,,0.050,2025-05-12 10:39:22
04,Part 2,Python,initial_attempt,1982,1982,CORRECT,,0.038,2025-05-12 10:39:22
04,Part 1,Clojure,initial_attempt,2464,2464,CORRECT,,0.724,2025-05-12 10:39:23
04,Part 2,Clojure,initial_attempt,1982,1982,CORRECT,,0.562,2025-05-12 10:39:23
05,Part 1,C,initial_attempt,1486,5391,INCORRECT,,0.065,2025-05-12 10:39:23
05,Part 2,C,initial_attempt,10272,6142,INCORRECT,,0.063,2025-05-12 10:39:23
05,Part 1,Python,initial_attempt,5391,5391,CORRECT,,0.012,2025-05-12 10:39:23
05,Part 2,Python,initial_attempt,6142,6142,CORRECT,,0.028,2025-05-12 10:39:23
05,Part 1,Clojure,initial_attempt,5391,5391,CORRECT,,0.564,2025-05-12 10:39:24
05,Part 2,Clojure,initial_attempt,6142,6142,CORRECT,,0.656,2025-05-12 10:39:25
06,Part 1,C,initial_attempt,5312,5312,CORRECT,,0.067,2025-05-12 10:39:25
06,Part 2,C,initial_attempt,16105,1748,INCORRECT,,1.381,2025-05-12 10:39:26
06,Part 1,Python,initial_attempt,5312,5312,CORRECT,,0.009,2025-05-12 10:39:26
06,Part 2,Python,initial_attempt,1748,1748,CORRECT,,20.819,2025-05-12 10:39:47
06,Part 1,Clojure,initial_attempt,5312,5312,CORRECT,,0.578,2025-05-12 10:39:47
06,Part 2,Clojure,initial_attempt,16105,1748,INCORRECT,,46.476,2025-05-12 10:40:34
07,Part 1,C,initial_attempt,0,3351424677624,INCORRECT,,0.059,2025-05-12 10:40:34
07,Part 2,C,initial_attempt,0,204976636995111,INCORRECT,,0.051,2025-05-12 10:40:34
07,Part 1,Python,initial_attempt,3351424677624,3351424677624,CORRECT,,0.098,2025-05-12 10:40:34
07,Part 2,Python,initial_attempt,204976636995111,204976636995111,CORRECT,,10.975,2025-05-12 10:40:45
07,Part 1,Clojure,initial_attempt,3351424677624,3351424677624,CORRECT,,1.060,2025-05-12 10:40:46
07,Part 2,Clojure,initial_attempt,204976636995111,204976636995111,CORRECT,,22.894,2025-05-12 10:41:09
08,Part 1,C,initial_attempt,11,367,INCORRECT,,0.110,2025-05-12 10:41:09
08,Part 2,C,initial_attempt,0,1285,INCORRECT,,0.100,2025-05-12 10:41:09
08,Part 1,Python,initial_attempt,367,367,CORRECT,,0.006,2025-05-12 10:41:09
08,Part 2,Python,initial_attempt,1285,1285,CORRECT,,0.007,2025-05-12 10:41:09
08,Part 1,Clojure,initial_attempt,0,367,INCORRECT,,0.554,2025-05-12 10:41:10
08,Part 2,Clojure,initial_attempt,231,1285,INCORRECT,,0.530,2025-05-12 10:41:10
09,Part 1,C,initial_attempt,N/A,6279058075753,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:42:10
09,Part 2,C,initial_attempt,,6301361958738,EMPTY_OUTPUT,Program produced no output,0.060,2025-05-12 10:42:10
09,Part 1,Python,initial_attempt,8265157818076,6279058075753,INCORRECT,,30.842,2025-05-12 10:42:41
09,Part 2,Python,initial_attempt,6301361958738,6301361958738,CORRECT,,19.618,2025-05-12 10:43:00
09,Part 1,Clojure,initial_attempt,N/A,6279058075753,ERROR,"Syntax error reading source at (output_09a.clj:52:1). EOF while reading, starting at line 17  Full report at: /tmp/clojure-13244307376919040339.edn",0.603,2025-05-12 10:43:01
09,Part 2,Clojure,initial_attempt,N/A,6301361958738,ERROR,"Execution error (NullPointerException) at output-09b/parse-disk (output_09b.clj:14). Cannot invoke ""java.lang.Number.doubleValue()"" because ""x"" is null  Full report at: /tmp/clojure-18008508076535333248.edn",0.700,2025-05-12 10:43:02
10,Part 1,C,initial_attempt,129,459,INCORRECT,,0.066,2025-05-12 10:43:02
10,Part 2,C,initial_attempt,1451,1034,INCORRECT,,0.052,2025-05-12 10:43:02
10,Part 1,Python,initial_attempt,459,459,CORRECT,,0.009,2025-05-12 10:43:02
10,Part 2,Python,initial_attempt,1034,1034,CORRECT,,0.009,2025-05-12 10:43:02
10,Part 1,Clojure,initial_attempt,459,459,CORRECT,,0.592,2025-05-12 10:43:02
10,Part 2,Clojure,initial_attempt,1034,1034,CORRECT,,0.598,2025-05-12 10:43:03
11,Part 1,C,initial_attempt,,193899,RUNTIME_ERROR,*** stack smashing detected ***: terminated,0.069,2025-05-12 10:43:03
11,Part 2,C,initial_attempt,,229682160383225,RUNTIME_ERROR,*** stack smashing detected ***: terminated,0.063,2025-05-12 10:43:03
11,Part 1,Python,initial_attempt,193899,193899,CORRECT,,0.074,2025-05-12 10:43:03
11,Part 2,Python,initial_attempt,229682160383225,229682160383225,CORRECT,,0.061,2025-05-12 10:43:03
11,Part 1,Clojure,initial_attempt,N/A,193899,ERROR,Execution error (ClassCastException) at output-11a/parse-input (output_11a.clj:6). class java.lang.String cannot be cast to class java.util.regex.Pattern (java.lang.String and java.util.regex.Pattern are in module java.base of loader 'bootstrap')  Full report at: /tmp/clojure-96636528200432622.edn,0.603,2025-05-12 10:43:04
11,Part 2,Clojure,initial_attempt,N/A,229682160383225,ERROR,Execution error (ClassCastException) at output-11b/parse-input (output_11b.clj:6). class java.lang.String cannot be cast to class java.util.regex.Pattern (java.lang.String and java.util.regex.Pattern are in module java.base of loader 'bootstrap')  Full report at: /tmp/clojure-11513950454466713108.edn,0.585,2025-05-12 10:43:04
12,Part 1,C,initial_attempt,,1449902,EMPTY_OUTPUT,Program produced no output,0.073,2025-05-12 10:43:05
12,Part 2,C,initial_attempt,,908042,EMPTY_OUTPUT,Program produced no output,0.072,2025-05-12 10:43:05
12,Part 1,Python,initial_attempt,1449902,1449902,CORRECT,,0.019,2025-05-12 10:43:05
12,Part 2,Python,initial_attempt,937813,908042,INCORRECT,,0.188,2025-05-12 10:43:05
12,Part 1,Clojure,initial_attempt,N/A,1449902,ERROR,"Syntax error reading source at (output_12a.clj:56:1). EOF while reading, starting at line 37  Full report at: /tmp/clojure-15721882195503850954.edn",0.616,2025-05-12 10:43:05
12,Part 2,Clojure,initial_attempt,N/A,908042,ERROR,"Syntax error reading source at (output_12b.clj:70:1). EOF while reading, starting at line 51  Full report at: /tmp/clojure-8146002625393697554.edn",0.598,2025-05-12 10:43:06
13,Part 1,C,initial_attempt,,29517,RUNTIME_ERROR,*** stack smashing detected ***: terminated,0.075,2025-05-12 10:43:06
13,Part 2,C,initial_attempt,,103570327981381,RUNTIME_ERROR,*** stack smashing detected ***: terminated,0.069,2025-05-12 10:43:06
13,Part 1,Python,initial_attempt,29517,29517,CORRECT,,0.166,2025-05-12 10:43:06
13,Part 2,Python,initial_attempt,104051533658296,103570327981381,INCORRECT,,44.440,2025-05-12 10:43:51
13,Part 1,Clojure,initial_attempt,N/A,29517,ERROR,"Syntax error reading source at (output_13a.clj:47:1). EOF while reading, starting at line 16  Full report at: /tmp/clojure-14427143714595591745.edn",0.614,2025-05-12 10:43:51
13,Part 2,Clojure,initial_attempt,N/A,103570327981381,ERROR,"Execution error (NullPointerException) at output-13b/parse-machine (output_13b.clj:9). Cannot invoke ""Object.getClass()"" because ""x"" is null  Full report at: /tmp/clojure-249359879986008132.edn",0.619,2025-05-12 10:43:52
14,Part 1,C,initial_attempt,436800,230461440,INCORRECT,,0.065,2025-05-12 10:43:52
14,Part 2,C,initial_attempt,0,6668,INCORRECT,,0.055,2025-05-12 10:43:52
14,Part 1,Python,initial_attempt,230461440,230461440,CORRECT,,0.007,2025-05-12 10:43:52
14,Part 2,Python,initial_attempt,0,6668,INCORRECT,,0.007,2025-05-12 10:43:52
14,Part 1,Clojure,initial_attempt,230461440,230461440,ERROR,"WARNING: time already refers to: #'clojure.core/time in namespace: output_14a, being replaced by: #'output_14a/time",0.522,2025-05-12 10:43:53
14,Part 2,Clojure,initial_attempt,0,6668,INCORRECT,,0.525,2025-05-12 10:43:53
15,Part 1,C,initial_attempt,N/A,1478649,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:44:52
15,Part 2,C,initial_attempt,N/A,1495455,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:45:52
15,Part 1,Python,initial_attempt,1450729,1478649,INCORRECT,,0.011,2025-05-12 10:45:52
15,Part 2,Python,initial_attempt,1467186,1495455,INCORRECT,,0.009,2025-05-12 10:45:52
15,Part 1,Clojure,initial_attempt,1452316,1478649,INCORRECT,,0.563,2025-05-12 10:45:52
15,Part 2,Clojure,initial_attempt,0,1495455,INCORRECT,,0.606,2025-05-12 10:45:53
16,Part 1,C,initial_attempt,,99488,EMPTY_OUTPUT,Program produced no output,0.092,2025-05-12 10:45:53
16,Part 2,C,initial_attempt,,516,EMPTY_OUTPUT,Program produced no output,0.068,2025-05-12 10:45:53
16,Part 1,Python,initial_attempt,99488,99488,CORRECT,,0.039,2025-05-12 10:45:53
16,Part 2,Python,initial_attempt,5,516,INCORRECT,,0.062,2025-05-12 10:45:53
16,Part 1,Clojure,initial_attempt,N/A,99488,ERROR,"Syntax error reading source at (output_16a.clj:68:1). EOF while reading, starting at line 31  Full report at: /tmp/clojure-9842272397133285074.edn",0.690,2025-05-12 10:45:54
16,Part 2,Clojure,initial_attempt,N/A,516,ERROR,Execution error (ClassCastException) at output-16b/collect-paths$iter$fn (output_16b.clj:64). class clojure.lang.PersistentHashMap cannot be cast to class java.util.Map$Entry (clojure.lang.PersistentHashMap is in unnamed module of loader 'app'; java.util.Map$Entry is in module java.base of loader 'bootstrap')  Full report at: /tmp/clojure-11562273338697575781.edn,0.962,2025-05-12 10:45:55
17,Part 1,C,initial_attempt,N/A,"2,7,6,5,6,0,2,3,1",TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:46:54
17,Part 2,C,initial_attempt,N/A,107416870455451,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:47:54
17,Part 1,Python,initial_attempt,"2,7,6,5,6,0,2,3,1","2,7,6,5,6,0,2,3,1",CORRECT,,0.007,2025-05-12 10:47:54
17,Part 2,Python,initial_attempt,N/A,107416870455451,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:48:53
17,Part 1,Clojure,initial_attempt,N/A,"2,7,6,5,6,0,2,3,1",ERROR,"Execution error (NumberFormatException) at java.lang.NumberFormatException/forInputString (NumberFormatException.java:67). For input string: ""Program: 2""  Full report at: /tmp/clojure-17113364273204597525.edn",0.654,2025-05-12 10:48:54
17,Part 2,Clojure,initial_attempt,N/A,107416870455451,ERROR,"Execution error (NumberFormatException) at java.lang.NumberFormatException/forInputString (NumberFormatException.java:67). For input string: ""Program: 2""  Full report at: /tmp/clojure-9169379450519828196.edn",0.637,2025-05-12 10:48:54
18,Part 1,C,initial_attempt,,334,EMPTY_OUTPUT,Program produced no output,0.132,2025-05-12 10:48:54
18,Part 2,C,initial_attempt,,"[20, 12]",EMPTY_OUTPUT,Program produced no output,0.064,2025-05-12 10:48:55
18,Part 1,Python,initial_attempt,334,334,CORRECT,,0.011,2025-05-12 10:48:55
18,Part 2,Python,initial_attempt,"20,12","[20, 12]",CORRECT,,4.444,2025-05-12 10:48:59
18,Part 1,Clojure,initial_attempt,334,334,CORRECT,,0.697,2025-05-12 10:49:00
18,Part 2,Clojure,initial_attempt,"20,12","[20, 12]",CORRECT,,21.899,2025-05-12 10:49:22
19,Part 1,C,initial_attempt,,324,EMPTY_OUTPUT,Program produced no output,0.060,2025-05-12 10:49:22
19,Part 2,C,initial_attempt,,575227823167869,EMPTY_OUTPUT,Program produced no output,0.063,2025-05-12 10:49:22
19,Part 1,Python,initial_attempt,324,324,CORRECT,,0.095,2025-05-12 10:49:22
19,Part 2,Python,initial_attempt,575227823167869,575227823167869,CORRECT,,0.317,2025-05-12 10:49:22
19,Part 1,Clojure,initial_attempt,324,324,CORRECT,,0.572,2025-05-12 10:49:23
19,Part 2,Clojure,initial_attempt,575227823167869,575227823167869,CORRECT,,0.569,2025-05-12 10:49:23
20,Part 1,C,initial_attempt,,1415,EMPTY_OUTPUT,Program produced no output,0.069,2025-05-12 10:49:23
20,Part 2,C,initial_attempt,,1022577,EMPTY_OUTPUT,Program produced no output,0.071,2025-05-12 10:49:23
20,Part 1,Python,initial_attempt,N/A,1415,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:50:23
20,Part 2,Python,initial_attempt,N/A,1022577,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:51:24
20,Part 1,Clojure,initial_attempt,N/A,1415,ERROR,"Syntax error reading source at (output_20a.clj:76:1). EOF while reading, starting at line 26  Full report at: /tmp/clojure-6323017818492074267.edn",0.720,2025-05-12 10:51:24
20,Part 2,Clojure,initial_attempt,N/A,1022577,ERROR,"Syntax error reading source at (output_20b.clj:79:1). EOF while reading, starting at line 37  Full report at: /tmp/clojure-7552400516987626037.edn",0.680,2025-05-12 10:51:25
21,Part 1,C,initial_attempt,0,128962,INCORRECT,,0.118,2025-05-12 10:51:25
21,Part 2,C,initial_attempt,0,159684145150108,INCORRECT,,0.098,2025-05-12 10:51:25
21,Part 1,Python,initial_attempt,inf,128962,INCORRECT,,0.009,2025-05-12 10:51:25
21,Part 2,Python,initial_attempt,inf,159684145150108,INCORRECT,,18.195,2025-05-12 10:51:43
21,Part 1,Clojure,initial_attempt,N/A,128962,ERROR,Syntax error reading source at (output_21a.clj:13:18). Invalid token: :  Full report at: /tmp/clojure-7498825824059462893.edn,0.688,2025-05-12 10:51:44
21,Part 2,Clojure,initial_attempt,N/A,159684145150108,ERROR,Syntax error reading source at (output_21b.clj:35:59). Unmatched delimiter: )  Full report at: /tmp/clojure-12101796239935399184.edn,0.679,2025-05-12 10:51:45
22,Part 1,C,initial_attempt,349813602,13234715490,INCORRECT,,0.142,2025-05-12 10:51:45
22,Part 2,C,initial_attempt,,1490,EMPTY_OUTPUT,Program produced no output,1.011,2025-05-12 10:51:46
22,Part 1,Python,initial_attempt,13234715490,13234715490,CORRECT,,0.397,2025-05-12 10:51:46
22,Part 2,Python,initial_attempt,N/A,1490,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:52:46
22,Part 1,Clojure,initial_attempt,13234715490,13234715490,CORRECT,,0.663,2025-05-12 10:52:47
22,Part 2,Clojure,initial_attempt,N/A,1490,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:53:47
23,Part 1,C,initial_attempt,,1485,EMPTY_OUTPUT,Program produced no output,0.078,2025-05-12 10:53:47
23,Part 2,C,initial_attempt,,"cc,dz,ea,hj,if,it,kf,qo,sk,ug,ut,uv,wh",EMPTY_OUTPUT,Program produced no output,0.072,2025-05-12 10:53:47
23,Part 1,Python,initial_attempt,1485,1485,CORRECT,,0.440,2025-05-12 10:53:48
23,Part 2,Python,initial_attempt,"cc,dz,ea,hj,if,it,kf,qo,sk,ug,ut,uv,wh","cc,dz,ea,hj,if,it,kf,qo,sk,ug,ut,uv,wh",CORRECT,,0.166,2025-05-12 10:53:48
23,Part 1,Clojure,initial_attempt,N/A,1485,ERROR,Syntax error compiling at (output_23a.clj:18:17). No such var: str/compare  Full report at: /tmp/clojure-13256245569950055135.edn,0.653,2025-05-12 10:53:48
23,Part 2,Clojure,initial_attempt,N/A,"cc,dz,ea,hj,if,it,kf,qo,sk,ug,ut,uv,wh",TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:54:49
24,Part 1,C,initial_attempt,,54715147844840,EMPTY_OUTPUT,Program produced no output,0.135,2025-05-12 10:54:49
24,Part 2,C,initial_attempt,,"ggn,grm,jcb,ndw,twr,z10,z32,z39",EMPTY_OUTPUT,Program produced no output,0.149,2025-05-12 10:54:49
24,Part 1,Python,initial_attempt,54715147844840,54715147844840,CORRECT,,0.013,2025-05-12 10:54:49
24,Part 2,Python,initial_attempt,N/A,"ggn,grm,jcb,ndw,twr,z10,z32,z39",TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:55:49
24,Part 1,Clojure,initial_attempt,N/A,54715147844840,TIMEOUT,Execution timed out after 60 seconds,60.000,2025-05-12 10:56:49
24,Part 2,Clojure,initial_attempt,N/A,"ggn,grm,jcb,ndw,twr,z10,z32,z39",ERROR,"Execution error (NullPointerException) at output-24b/find-z-wires$fn (output_24b.clj:63). Cannot invoke ""Object.toString()"" because ""s"" is null  Full report at: /tmp/clojure-16198437490273757797.edn",0.805,2025-05-12 10:56:50
25,Part 1,C,initial_attempt,0,2900,INCORRECT,,0.157,2025-05-12 10:56:50
25,Part 2,C,initial_attempt,N/A,,SCRIPT_NOT_FOUND,Source file not found,0.000,2025-05-12 10:56:50
25,Part 1,Python,initial_attempt,19,2900,INCORRECT,,0.018,2025-05-12 10:56:50
25,Part 2,Python,initial_attempt,N/A,,SCRIPT_NOT_FOUND,Source file not found,0.000,2025-05-12 10:56:50
25,Part 1,Clojure,initial_attempt,496,2900,INCORRECT,,0.548,2025-05-12 10:56:50
25,Part 2,Clojure,initial_attempt,N/A,,SCRIPT_NOT_FOUND,Source file not found,0.000,2025-05-12 10:56:50
