Day,Part,Language,Attempt,Output,Expected Output,Status,Error Message,Execution Time (s),Date/Time
01,1,python,Direct_Attempt,1646452,1646452,CORRECT,,0.007,2025-05-12 20:46:50
01,2,python,Direct_Attempt,23609874,23609874,CORRECT,,0.008,2025-05-12 20:46:50
02,1,python,Direct_Attempt,524,524,CORRECT,,0.008,2025-05-12 20:46:50
02,2,python,Direct_Attempt,569,569,CORRECT,,0.010,2025-05-12 20:46:50
03,1,python,Direct_Attempt,167650499,167650499,CORRECT,,0.011,2025-05-12 20:46:50
03,2,python,Direct_Attempt,95846796,95846796,CORRECT,,0.011,2025-05-12 20:46:50
04,1,python,Direct_Attempt,2464,2464,CORRECT,,0.051,2025-05-12 20:46:51
04,2,python,Direct_Attempt,1982,1982,CORRECT,,0.035,2025-05-12 20:46:51
05,1,python,Direct_Attempt,5391,5391,CORRECT,,0.012,2025-05-12 20:46:51
05,2,python,Direct_Attempt,6142,6142,CORRECT,,0.028,2025-05-12 20:46:51
06,1,python,Direct_Attempt,5312,5312,CORRECT,,0.009,2025-05-12 20:46:51
06,2,python,Direct_Attempt,1748,1748,CORRECT,,20.613,2025-05-12 20:47:11
07,1,python,Direct_Attempt,3351424677624,3351424677624,CORRECT,,0.101,2025-05-12 20:47:11
07,2,python,Direct_Attempt,204976636995111,204976636995111,CORRECT,,10.847,2025-05-12 20:47:22
08,1,python,Direct_Attempt,367,367,CORRECT,,0.008,2025-05-12 20:47:22
08,2,python,Direct_Attempt,1285,1285,CORRECT,,0.008,2025-05-12 20:47:22
09,1,python,Direct_Attempt,8265157818076,6279058075753,INCORRECT,,30.738,2025-05-12 20:47:53
09,2,python,Direct_Attempt,6301361958738,6301361958738,CORRECT,,19.177,2025-05-12 20:48:12
10,1,python,Direct_Attempt,459,459,CORRECT,,0.009,2025-05-12 20:48:12
10,2,python,Direct_Attempt,1034,1034,CORRECT,,0.011,2025-05-12 20:48:12
11,1,python,Direct_Attempt,193899,193899,CORRECT,,0.074,2025-05-12 20:48:12
11,2,python,Direct_Attempt,229682160383225,229682160383225,CORRECT,,0.062,2025-05-12 20:48:12
12,1,python,Direct_Attempt,1449902,1449902,CORRECT,,0.020,2025-05-12 20:48:12
12,2,python,Direct_Attempt,937813,908042,INCORRECT,,0.181,2025-05-12 20:48:12
13,1,python,Direct_Attempt,29517,29517,CORRECT,,0.163,2025-05-12 20:48:13
13,2,python,Direct_Attempt,104051533658296,103570327981381,INCORRECT,,44.283,2025-05-12 20:48:57
14,1,python,Direct_Attempt,230461440,230461440,CORRECT,,0.007,2025-05-12 20:48:57
14,2,python,Direct_Attempt,0,6668,INCORRECT,,0.008,2025-05-12 20:48:57
15,1,python,Direct_Attempt,1450729,1478649,INCORRECT,,0.008,2025-05-12 20:48:57
15,2,python,Direct_Attempt,1467186,1495455,INCORRECT,,0.009,2025-05-12 20:48:57
16,1,python,Direct_Attempt,99488,99488,CORRECT,,0.040,2025-05-12 20:48:57
16,2,python,Direct_Attempt,5,516,INCORRECT,,0.073,2025-05-12 20:48:57
17,1,python,Direct_Attempt,"2,7,6,5,6,0,2,3,1","2,7,6,5,6,0,2,3,1",CORRECT,,0.007,2025-05-12 20:48:57
17,2,python,Direct_Attempt,TIMEOUT,107416870455451,TIMEOUT,,60.016,2025-05-12 20:49:57
18,1,python,Direct_Attempt,334,334,CORRECT,,0.012,2025-05-12 20:49:57
18,2,python,Direct_Attempt,"20,12","[20, 12]",CORRECT,,4.450,2025-05-12 20:50:02
19,1,python,Direct_Attempt,324,324,CORRECT,,0.106,2025-05-12 20:50:02
19,2,python,Direct_Attempt,575227823167869,575227823167869,CORRECT,,0.326,2025-05-12 20:50:02
20,1,python,Direct_Attempt,TIMEOUT,1415,TIMEOUT,,60.061,2025-05-12 20:51:02
20,2,python,Direct_Attempt,TIMEOUT,1022577,TIMEOUT,,60.014,2025-05-12 20:52:02
21,1,python,Direct_Attempt,inf,128962,INCORRECT,,0.009,2025-05-12 20:52:02
21,2,python,Direct_Attempt,inf,159684145150108,INCORRECT,,17.725,2025-05-12 20:52:20
22,1,python,Direct_Attempt,13234715490,13234715490,CORRECT,,0.391,2025-05-12 20:52:20
22,2,python,Direct_Attempt,TIMEOUT,1490,TIMEOUT,,60.062,2025-05-12 20:53:20
23,1,python,Direct_Attempt,1485,1485,CORRECT,,0.419,2025-05-12 20:53:21
23,2,python,Direct_Attempt,"cc,dz,ea,hj,if,it,kf,qo,sk,ug,ut,uv,wh","cc,dz,ea,hj,if,it,kf,qo,sk,ug,ut,uv,wh",CORRECT,,0.159,2025-05-12 20:53:21
24,1,python,Direct_Attempt,54715147844840,54715147844840,CORRECT,,0.011,2025-05-12 20:53:21
24,2,python,Direct_Attempt,TIMEOUT,"ggn,grm,jcb,ndw,twr,z10,z32,z39",TIMEOUT,,60.061,2025-05-12 20:54:21
25,1,python,Direct_Attempt,19,2900,INCORRECT,,0.019,2025-05-12 20:54:21
01,1,c,Direct_Attempt,1646452,1646452,CORRECT,,0.122,2025-05-12 20:54:21
01,2,c,Direct_Attempt,23609874,23609874,CORRECT,,0.151,2025-05-12 20:54:21
02,1,c,Direct_Attempt,277,524,INCORRECT,,0.141,2025-05-12 20:54:21
02,2,c,Direct_Attempt,299,569,INCORRECT,,0.535,2025-05-12 20:54:22
03,1,c,Direct_Attempt,14100415,167650499,INCORRECT,,0.649,2025-05-12 20:54:23
03,2,c,Direct_Attempt,14100415,95846796,INCORRECT,,0.428,2025-05-12 20:54:23
04,1,c,Direct_Attempt,N/A,2464,ERROR,Compilation error (exit -6): *** stack smashing detected ***: terminated,0.674,2025-05-12 20:54:24
04,2,c,Direct_Attempt,N/A,1982,ERROR,Compilation error (exit -6): *** stack smashing detected ***: terminated,0.656,2025-05-12 20:54:24
05,1,c,Direct_Attempt,1486,5391,INCORRECT,,0.713,2025-05-12 20:54:25
05,2,c,Direct_Attempt,10272,6142,INCORRECT,,0.639,2025-05-12 20:54:26
06,1,c,Direct_Attempt,5312,5312,CORRECT,,0.683,2025-05-12 20:54:26
06,2,c,Direct_Attempt,16105,1748,INCORRECT,,1.891,2025-05-12 20:54:28
07,1,c,Direct_Attempt,0,3351424677624,INCORRECT,,0.644,2025-05-12 20:54:29
07,2,c,Direct_Attempt,0,204976636995111,INCORRECT,,0.696,2025-05-12 20:54:30
08,1,c,Direct_Attempt,11,367,INCORRECT,,0.608,2025-05-12 20:54:30
08,2,c,Direct_Attempt,0,1285,INCORRECT,,0.594,2025-05-12 20:54:31
09,1,c,Direct_Attempt,TIMEOUT,6279058075753,TIMEOUT,,60.662,2025-05-12 20:55:31
09,2,c,Direct_Attempt,N/A,6301361958738,ERROR,Compilation error (exit -11):,0.360,2025-05-12 20:55:32
10,1,c,Direct_Attempt,129,459,INCORRECT,,0.156,2025-05-12 20:55:32
10,2,c,Direct_Attempt,1451,1034,INCORRECT,,0.560,2025-05-12 20:55:33
11,1,c,Direct_Attempt,N/A,193899,ERROR,Compilation error (exit -6): *** stack smashing detected ***: terminated,0.593,2025-05-12 20:55:33
11,2,c,Direct_Attempt,N/A,229682160383225,ERROR,Compilation error (exit -6): *** stack smashing detected ***: terminated,0.606,2025-05-12 20:55:34
12,1,c,Direct_Attempt,N/A,1449902,ERROR,Compilation error (exit -11):,0.432,2025-05-12 20:55:34
12,2,c,Direct_Attempt,N/A,908042,ERROR,Compilation error (exit -11):,0.666,2025-05-12 20:55:35
13,1,c,Direct_Attempt,N/A,29517,ERROR,Compilation error (exit -11):,0.686,2025-05-12 20:55:36
13,2,c,Direct_Attempt,N/A,103570327981381,ERROR,Compilation error (exit -6): *** stack smashing detected ***: terminated,0.427,2025-05-12 20:55:36
14,1,c,Direct_Attempt,436800,230461440,INCORRECT,,0.423,2025-05-12 20:55:36
14,2,c,Direct_Attempt,0,6668,INCORRECT,,0.409,2025-05-12 20:55:37
15,1,c,Direct_Attempt,TIMEOUT,1478649,TIMEOUT,,60.763,2025-05-12 20:56:38
