Day,Part,Language,Attempt,Output,Expected Output,Status,Error Message,Execution Time (s),Date/Time
01,1,clojure,translation_attempt_c_to_clojure,1646452,1646452,CORRECT,,0.768,2025-05-12 21:16:21
01,2,clojure,translation_attempt_c_to_clojure,23609874,23609874,CORRECT,,0.487,2025-05-12 21:16:22
06,1,clojure,translation_attempt_c_to_clojure,N/A,5312,ERROR,"Unknown error (exit 1): Execution error (FileNotFoundException) at clojure.main/main (main.java:40). Could not locate output_02a__init.class, output_02a.clj or output_02a.cljc on classpath. Please check that namespaces with dashes use underscores in the Clojure file name.  Full report at: /tmp/clojure-3777954306034829546.edn",0.472,2025-05-12 21:16:22
01,1,python,translation_attempt_c_to_python,1646452,1646452,CORRECT,,0.008,2025-05-12 21:16:22
01,2,python,translation_attempt_c_to_python,23609874,23609874,CORRECT,,0.009,2025-05-12 21:16:22
06,1,python,translation_attempt_c_to_python,5312,5312,CORRECT,,0.008,2025-05-12 21:16:22
01,1,clojure,translation_attempt_python_to_clojure,1646452,1646452,CORRECT,,0.517,2025-05-12 21:16:23
01,2,clojure,translation_attempt_python_to_clojure,23609874,23609874,CORRECT,,0.525,2025-05-12 21:16:23
02,1,clojure,translation_attempt_python_to_clojure,524,524,CORRECT,,0.523,2025-05-12 21:16:24
02,2,clojure,translation_attempt_python_to_clojure,569,569,CORRECT,,0.530,2025-05-12 21:16:24
03,1,clojure,translation_attempt_python_to_clojure,167650499,167650499,CORRECT,,0.487,2025-05-12 21:16:25
03,2,clojure,translation_attempt_python_to_clojure,N/A,95846796,ERROR,Unknown error (exit 1): Execution error (ClassCastException) at output-03b/part (output_03b.clj:13). class clojure.lang.PersistentVector cannot be cast to class java.lang.CharSequence (clojure.lang.PersistentVector is in unnamed module of loader 'app'; java.lang.CharSequence is in module java.base of loader 'bootstrap')  Full report at: /tmp/clojure-3857966562223560686.edn,0.604,2025-05-12 21:16:25
04,1,clojure,translation_attempt_python_to_clojure,2464,2464,CORRECT,,0.919,2025-05-12 21:16:26
04,2,clojure,translation_attempt_python_to_clojure,N/A,1982,ERROR,"Unknown error (exit 1): Syntax error reading source at (output_04b.clj:34:1). EOF while reading, starting at line 4  Full report at: /tmp/clojure-6365411380194371539.edn",0.577,2025-05-12 21:16:27
05,1,clojure,translation_attempt_python_to_clojure,5391,5391,CORRECT,,0.513,2025-05-12 21:16:28
05,2,clojure,translation_attempt_python_to_clojure,6142,6142,CORRECT,,0.816,2025-05-12 21:16:28
06,1,clojure,translation_attempt_python_to_clojure,5327,5312,INCORRECT,,0.572,2025-05-12 21:16:29
06,2,clojure,translation_attempt_python_to_clojure,1748,1748,CORRECT,,36.934,2025-05-12 21:17:06
07,1,clojure,translation_attempt_python_to_clojure,3351424677624,3351424677624,CORRECT,,1.047,2025-05-12 21:17:07
07,2,clojure,translation_attempt_python_to_clojure,204976636995111,204976636995111,CORRECT,,52.461,2025-05-12 21:17:59
08,1,clojure,translation_attempt_python_to_clojure,367,367,CORRECT,,0.734,2025-05-12 21:18:00
08,2,clojure,translation_attempt_python_to_clojure,N/A,1285,ERROR,"Unknown error (exit 1): Syntax error reading source at (output_08b.clj:56:1). EOF while reading, starting at line 7  Full report at: /tmp/clojure-4358782906025481385.edn",0.626,2025-05-12 21:18:01
09,2,clojure,translation_attempt_python_to_clojure,N/A,6301361958738,ERROR,Unknown error (exit 1): Execution error (StackOverflowError) at (REPL:1). null  Full report at: /tmp/clojure-2922594006569404966.edn,0.861,2025-05-12 21:18:02
10,1,clojure,translation_attempt_python_to_clojure,N/A,459,ERROR,Unknown error (exit 1): Syntax error reading source at (output_10a.clj:33:38). Nested #()s are not allowed  Full report at: /tmp/clojure-17965978842245205841.edn,0.651,2025-05-12 21:18:02
10,2,clojure,translation_attempt_python_to_clojure,N/A,1034,ERROR,Unknown error (exit 1): Syntax error reading source at (output_10b.clj:7:38). Nested #()s are not allowed  Full report at: /tmp/clojure-2043992037479744903.edn,0.674,2025-05-12 21:18:03
11,1,clojure,translation_attempt_python_to_clojure,193899,193899,CORRECT,,0.639,2025-05-12 21:18:04
11,2,clojure,translation_attempt_python_to_clojure,229682160383225,229682160383225,CORRECT,,0.611,2025-05-12 21:18:04
12,1,clojure,translation_attempt_python_to_clojure,N/A,1449902,ERROR,"Unknown error (exit 1): Syntax error reading source at (output_12a.clj:73:1). EOF while reading, starting at line 35  Full report at: /tmp/clojure-13236703432781670170.edn",0.653,2025-05-12 21:18:05
13,1,clojure,translation_attempt_python_to_clojure,29517,29517,CORRECT,,0.645,2025-05-12 21:18:05
14,1,clojure,translation_attempt_python_to_clojure,230461440,230461440,CORRECT,,0.562,2025-05-12 21:18:06
16,1,clojure,translation_attempt_python_to_clojure,N/A,99488,ERROR,"Unknown error (exit 1): Syntax error reading source at (output_16a.clj:59:1). EOF while reading, starting at line 7  Full report at: /tmp/clojure-330468282870071893.edn",0.703,2025-05-12 21:18:07
17,1,clojure,translation_attempt_python_to_clojure,N/A,"2,7,6,5,6,0,2,3,1",ERROR,Unknown error (exit 1): Execution error (ClassCastException) at output-17a/parse-input$fn (output_17a.clj:15). class java.lang.String cannot be cast to class java.util.regex.Pattern (java.lang.String and java.util.regex.Pattern are in module java.base of loader 'bootstrap')  Full report at: /tmp/clojure-11084287612510594682.edn,0.639,2025-05-12 21:18:07
18,1,clojure,translation_attempt_python_to_clojure,N/A,334,ERROR,"Unknown error (exit 1): Syntax error (IllegalArgumentException) compiling recur at (output_18a.clj:33:15). Mismatched argument count to recur, expected: 3 args, got: 2  Full report at: /tmp/clojure-1455601946762546853.edn",0.618,2025-05-12 21:18:08
18,2,clojure,translation_attempt_python_to_clojure,N/A,"[20, 12]",ERROR,"Unknown error (exit 1): Syntax error reading source at (output_18b.clj:53:1). EOF while reading, starting at line 13  Full report at: /tmp/clojure-15986959608147286927.edn",0.622,2025-05-12 21:18:09
